City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mataura,-46.19,168.86,59.83,62.0,0.0,3.47,NZ,1588967507.0
Vaini,-21.2,-175.2,82.4,83.0,75.0,16.11,TO,1589047305.0
Ahipara,-35.17,173.17,65.41,63.0,0.0,8.25,NZ,1588965018.0
Xining,36.62,101.77,38.32,74.0,92.0,2.15,CN,1588975861.0
Severo-Kuril'sk,50.68,156.12,34.47,88.0,83.0,15.59,RU,1588960573.0
Golden,39.76,-105.22,62.01,30.0,75.0,12.75,US,1588938756.0
Thompson,55.74,-97.86,33.8,59.0,20.0,10.29,CA,1588933929.0
Atuona,-9.8,-139.03,81.63,74.0,100.0,15.03,PF,1588951284.0
Vardø,70.37,31.11,34.21,83.0,100.0,6.89,NO,1588980010.0
Bredasdorp,-34.53,20.04,60.8,87.0,87.0,3.36,ZA,1589001719.0
Ushuaia,-54.8,-68.3,46.4,75.0,20.0,4.7,AR,1588939654.0
Kyra,49.58,111.98,41.77,69.0,100.0,7.76,RU,1588971383.0
Manaia,-39.55,174.13,63.0,76.0,0.0,1.99,NZ,1588965306.0
Omsukchan,62.53,155.8,29.73,96.0,80.0,8.37,RU,1588956945.0
Nikolskoye,59.7,30.79,44.6,56.0,71.0,6.71,RU,1588988086.0
Punta Arenas,-53.15,-70.92,41.0,86.0,100.0,6.93,CL,1588939910.0
Avarua,-21.21,-159.78,82.4,74.0,19.0,16.11,CK,1588957179.0
Lebu,-37.62,-73.65,57.54,94.0,100.0,5.91,CL,1588938120.0
Sinnamary,5.38,-52.95,78.53,80.0,100.0,10.69,GF,1588929484.0
Busselton,-33.65,115.33,39.0,92.0,0.0,5.99,AU,1588978741.0
Rikitea,-23.12,-134.97,76.06,69.0,90.0,5.88,PF,1588951388.0
Longyearbyen,78.22,15.64,26.6,73.0,40.0,12.75,SJ,0.0
Cabo San Lucas,22.89,-109.91,87.8,28.0,5.0,12.75,MX,1588941725.0
Khatanga,71.97,102.5,25.34,95.0,100.0,21.94,RU,0.0
Fortuna,40.6,-124.16,59.0,93.0,1.0,12.75,US,1588943183.0
Castro,-24.79,-50.01,47.84,92.0,0.0,3.47,BR,1588931138.0
East London,-33.02,27.91,69.35,72.0,91.0,3.49,ZA,1588999665.0
Cape Town,-33.93,18.42,57.2,93.0,93.0,1.12,ZA,1589002042.0
Rocha,-34.48,-54.33,48.4,87.0,0.0,5.82,UY,1588933125.0
Husavik,66.04,-17.34,33.8,59.0,75.0,3.36,IS,1588996357.0
Champotón,19.35,-90.72,84.2,74.0,75.0,11.41,MX,1588937433.0
Hermanus,-34.42,19.23,60.01,79.0,100.0,9.4,ZA,1589001901.0
Colares,38.8,-9.45,61.0,79.0,100.0,6.76,PT,1589002255.0
Port Elizabeth,-33.92,25.57,60.8,100.0,90.0,3.36,ZA,1589000324.0
Ucluelet,48.93,-125.55,70.0,45.0,20.0,3.36,CA,1588942150.0
Hilo,19.73,-155.09,84.2,51.0,20.0,12.75,US,1588952844.0
Teguise,29.06,-13.56,66.2,77.0,75.0,2.24,ES,1589004378.0
Guerrero Negro,27.98,-114.06,71.49,62.0,0.0,17.0,MX,1588942237.0
Vila Franca do Campo,37.72,-25.43,59.0,93.0,75.0,11.41,PT,1589006229.0
Yarim,14.3,44.38,56.57,60.0,0.0,4.41,YE,1588991817.0
Touros,-5.2,-35.46,78.8,88.0,75.0,4.7,BR,1588926078.0
Porbandar,21.64,69.61,80.02,84.0,0.0,6.26,IN,1588985137.0
Lagoa,39.05,-27.98,61.27,89.0,100.0,18.84,PT,1589006666.0
Hong Kong,22.29,114.16,86.0,70.0,75.0,9.17,HK,1588974390.0
Yellowknife,62.46,-114.35,37.4,64.0,75.0,12.75,CA,1588935458.0
Kapaa,22.08,-159.32,80.6,61.0,20.0,19.46,US,1588953652.0
Lorengau,-2.02,147.27,85.21,73.0,87.0,4.7,PG,1588968385.0
Pathein,16.78,94.73,85.87,68.0,88.0,10.92,MM,1588979530.0
Bluff,-46.6,168.33,57.29,73.0,0.0,7.85,NZ,1588967700.0
Port Hawkesbury,45.62,-61.35,42.8,52.0,1.0,10.29,CA,1588927354.0
Mahébourg,-20.41,57.7,71.6,94.0,40.0,2.24,MU,1588991326.0
Sawang Daen Din,17.48,103.46,90.21,54.0,82.0,6.6,TH,1588977377.0
Pangnirtung,66.15,-65.71,28.92,91.0,100.0,0.25,CA,1588921694.0
Tasiilaq,65.61,-37.64,28.4,86.0,98.0,3.36,GL,1588915345.0
Manutuke,-38.68,177.92,64.0,64.0,0.0,4.0,NZ,1588964287.0
Kiryat Gat,31.61,34.76,64.99,76.0,56.0,4.0,IL,1588992516.0
Bentiu,9.23,29.83,84.61,57.0,100.0,4.09,SS,1588995713.0
Taunggyi,20.78,97.03,74.07,53.0,0.0,1.77,MM,1588978635.0
Gijón,43.54,-5.66,59.0,90.0,2.0,2.82,ES,1589000662.0
Galveston,29.37,-94.97,73.0,83.0,90.0,16.11,US,1588937517.0
Sobolevo,54.43,31.9,42.66,69.0,91.0,5.19,RU,1588989467.0
Kaitangata,-46.28,169.85,57.99,61.0,0.0,1.99,NZ,1588967283.0
Susa,32.19,48.24,75.74,29.0,2.0,3.53,IR,1588989219.0
San Patricio,19.22,-104.7,80.6,69.0,5.0,6.02,MX,1588940798.0
Saint Paul Harbor,57.79,-152.41,44.6,87.0,90.0,18.34,US,1588946387.0
Bambous Virieux,-20.34,57.76,71.6,94.0,40.0,2.24,MU,1588991305.0
Torbay,47.67,-52.73,37.0,92.0,5.0,16.11,CA,1588924928.0
Nemuro,43.32,145.57,71.6,24.0,0.0,10.29,JP,1588964431.0
Goderich,43.75,-81.72,36.0,68.0,0.0,17.67,CA,1588932541.0
Upernavik,72.79,-56.15,21.47,90.0,100.0,10.25,GL,0.0
George Town,5.41,100.34,82.4,94.0,20.0,2.24,MY,1588979087.0
Provideniya,64.38,-173.3,43.41,62.0,0.0,16.51,RU,1589034774.0
Bermejo,-32.88,-68.8,53.6,71.0,0.0,2.73,AR,1588936429.0
Carnarvon,-24.87,113.63,68.77,42.0,100.0,22.01,AU,1588978288.0
Talnakh,69.49,88.4,39.2,93.0,40.0,24.61,RU,1588967723.0
Safi,32.3,-9.24,62.98,80.0,5.0,5.39,MA,1589002994.0
